ref,cmd,family,rci,changes_settings,no_prefix,no_wipes_list,multiple_input,context,interface_type,args,required_args,source,entry
3.134,opkg object-group fqdn enable,opkg,/rci/opkg/object-group/fqdn/enable,yes,yes,no,no,,,name:String,name,05_commands_mws_ndns_opkg_services(1).md:3135,entries/opkg.md
3.135,opkg timezone,opkg,/rci/opkg/timezone,yes,yes,no,no,,,auto:Keyword;timezone:String,timezone,05_commands_mws_ndns_opkg_services(1).md:3175,entries/opkg.md
3.136,ping-check profile,ping-check,/rci/ping-check/profile,yes,yes,no,yes,(config-pchk),,name:String,name,05_commands_mws_ndns_opkg_services(1).md:3226,entries/ping-check.md
3.136.1,ping-check profile host,ping-check,/rci/ping-check/profile/host,yes,yes,no,no,,,host:Hostname,host,05_commands_mws_ndns_opkg_services(1).md:3279,entries/ping-check.md
3.136.2,ping-check profile max-fails,ping-check,/rci/ping-check/profile/max-fails,yes,yes,no,no,,,count:Integer,count,05_commands_mws_ndns_opkg_services(1).md:3322,entries/ping-check.md
3.136.3,ping-check profile min-success,ping-check,/rci/ping-check/profile/min-success,yes,yes,no,no,,,count:Integer,count,05_commands_mws_ndns_opkg_services(1).md:3365,entries/ping-check.md
3.136.4,ping-check profile mode,ping-check,/rci/ping-check/profile/mode,yes,no,no,no,,,mode:Keyword,mode,05_commands_mws_ndns_opkg_services(1).md:3408,entries/ping-check.md
3.136.5,ping-check profile port,ping-check,/rci/ping-check/profile/port,yes,yes,no,no,,,port:Integer,port,05_commands_mws_ndns_opkg_services(1).md:3446,entries/ping-check.md
3.136.6,ping-check profile power-cycle,ping-check,/rci/ping-check/profile/power-cycle,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:3487,entries/ping-check.md
3.136.7,ping-check profile timeout,ping-check,/rci/ping-check/profile/timeout,yes,yes,no,no,,,timeout:Integer,timeout,05_commands_mws_ndns_opkg_services(1).md:3521,entries/ping-check.md
3.136.8,ping-check profile update-interval,ping-check,/rci/ping-check/profile/update-interval,yes,no,no,no,,,seconds:Integer,seconds,05_commands_mws_ndns_opkg_services(1).md:3562,entries/ping-check.md
3.136.9,ping-check profile uri,ping-check,/rci/ping-check/profile/uri,yes,yes,no,no,,,uri:Keyword,,05_commands_mws_ndns_opkg_services(1).md:3592,entries/ping-check.md
3.137,ppe,ppe,/rci/ppe,yes,yes,no,no,,,engine:Keyword,engine,05_commands_mws_ndns_opkg_services(1).md:3648,entries/ppe.md
3.138,pppoe pass,pppoe,/rci/pppoe/pass,yes,yes,no,no,,Ethernet,wan-iface:Interface;lan-iface:Interface,wan-iface;lan-iface,05_commands_mws_ndns_opkg_services(1).md:3691,entries/pppoe.md
3.139,printer,printer,/rci/printer,yes,yes,no,yes,(config-printer),,id:String,id,05_commands_mws_ndns_opkg_services(1).md:3734,
3.139.1,printer bidirectional,printer,/rci/printer/bidirectional,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:3772,
3.139.2,printer debug,printer,/rci/printer/debug,yes,yes,no,no,,,level:Integer,,05_commands_mws_ndns_opkg_services(1).md:3805,
3.139.3,printer firmware,printer,/rci/printer/firmware,yes,yes,no,no,,,firmware:String,firmware,05_commands_mws_ndns_opkg_services(1).md:3845,
3.139.4,printer name,printer,/rci/printer/name,yes,no,no,no,,,name:String,name,05_commands_mws_ndns_opkg_services(1).md:3879,
3.139.5,printer port,printer,/rci/printer/port,yes,no,no,no,,,port:Integer,port,05_commands_mws_ndns_opkg_services(1).md:3906,
3.139.6,printer status-polling,printer,/rci/printer/status-polling,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:3933,
3.139.7,printer type,printer,/rci/printer/type,yes,no,no,no,,,type:Keyword,type,05_commands_mws_ndns_opkg_services(1).md:3967,
3.140,schedule,schedule,/rci/schedule,yes,yes,no,yes,(config-sched),,name:String,name,05_commands_mws_ndns_opkg_services(1).md:3995,entries/schedule.md
3.140.1,schedule action,schedule,/rci/schedule/action,yes,yes,no,yes,,,action:Keyword;min:Integer;hour:Integer;dow:Integer,action;min;hour;dow,05_commands_mws_ndns_opkg_services(1).md:4028,entries/schedule.md
3.140.2,schedule description,schedule,/rci/schedule/description,no,yes,no,no,,,description:Keyword,,05_commands_mws_ndns_opkg_services(1).md:4068,entries/schedule.md
3.140.3,schedule led,schedule,/rci/schedule/led,yes,yes,no,no,,,action:Keyword,action,05_commands_mws_ndns_opkg_services(1).md:4104,entries/schedule.md
3.141,service afp,service,/rci/service/afp,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4142,entries/service.md
3.142,service cifs,service,/rci/service/cifs,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4168,entries/service.md
3.143,service dhcp,service,/rci/service/dhcp,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4197,entries/service.md
